2026-01-25 06:06:43, Epoch 154, LR 0.000010, Acc 99.96, LOSS 0.044268, EER 21.9714, minDCF 0.877, Train Time 40.49s, Eval Time 75.45s
2026-01-25 06:08:39, Epoch 155, LR 0.000010, Acc 99.97, LOSS 0.042540, EER 21.6857, minDCF 0.891, Train Time 40.84s, Eval Time 75.45s
2026-01-25 06:10:36, Epoch 156, LR 0.000010, Acc 99.96, LOSS 0.043101, EER 22.3714, minDCF 0.886, Train Time 40.47s, Eval Time 75.93s
2026-01-25 06:12:30, Epoch 157, LR 0.000010, Acc 99.99, LOSS 0.042591, EER 21.7143, minDCF 0.878, Train Time 40.15s, Eval Time 74.33s
2026-01-25 06:15:03, Epoch 158, LR 0.000010, Acc 99.94, LOSS 0.042384, EER 22.4000, minDCF 0.875, Train Time 40.50s, Eval Time 111.84s
2026-01-25 06:16:57, Epoch 159, LR 0.000010, Acc 99.96, LOSS 0.041511, EER 22.4000, minDCF 0.880, Train Time 40.34s, Eval Time 74.20s
2026-01-25 06:18:54, Epoch 160, LR 0.000010, Acc 99.93, LOSS 0.042785, EER 22.1429, minDCF 0.886, Train Time 40.48s, Eval Time 75.87s
2026-01-25 06:20:48, Epoch 161, LR 0.000010, Acc 99.94, LOSS 0.043216, EER 22.0286, minDCF 0.888, Train Time 40.45s, Eval Time 73.85s
2026-01-25 06:22:49, Epoch 162, LR 0.000010, Acc 99.96, LOSS 0.041154, EER 21.7429, minDCF 0.886, Train Time 40.37s, Eval Time 80.47s
2026-01-25 06:24:45, Epoch 163, LR 0.000010, Acc 100.00, LOSS 0.041111, EER 21.7429, minDCF 0.880, Train Time 40.17s, Eval Time 75.67s
2026-01-25 06:26:41, Epoch 164, LR 0.000010, Acc 99.94, LOSS 0.041807, EER 22.3429, minDCF 0.901, Train Time 40.93s, Eval Time 75.43s
2026-01-25 06:28:40, Epoch 165, LR 0.000010, Acc 99.96, LOSS 0.044318, EER 22.0857, minDCF 0.890, Train Time 40.62s, Eval Time 78.16s
2026-01-25 06:30:36, Epoch 166, LR 0.000010, Acc 99.93, LOSS 0.042666, EER 21.6000, minDCF 0.885, Train Time 40.65s, Eval Time 75.21s
